provincia,pantallas,butacas,espacio incaa,fecha de actualización
Buenos Aires,358,93112,20,2022-08-15 02:10:37.231823
Catamarca,12,3200,1,2022-08-15 02:10:37.231823
Chaco,14,2469,1,2022-08-15 02:10:37.231823
Chubut,10,2682,4,2022-08-15 02:10:37.231823
Ciudad Autónoma de Buenos Aires,153,31386,3,2022-08-15 02:10:37.231823
Corrientes,17,3370,1,2022-08-15 02:10:37.231823
Córdoba,105,20799,2,2022-08-15 02:10:37.231823
Entre Ríos,17,4086,2,2022-08-15 02:10:37.231823
Formosa,4,1184,1,2022-08-15 02:10:37.231823
Jujuy,5,2277,2,2022-08-15 02:10:37.231823
La Pampa,6,2071,2,2022-08-15 02:10:37.231823
La Rioja,10,1477,1,2022-08-15 02:10:37.231823
Mendoza,47,11116,2,2022-08-15 02:10:37.231823
Misiones,10,2177,2,2022-08-15 02:10:37.231823
Neuquén,12,3959,3,2022-08-15 02:10:37.231823
Río Negro,10,2474,4,2022-08-15 02:10:37.231823
Salta,23,4665,2,2022-08-15 02:10:37.231823
San Juan,22,4617,2,2022-08-15 02:10:37.231823
San Luis,12,2601,0,2022-08-15 02:10:37.231823
Santa Cruz,7,1256,2,2022-08-15 02:10:37.231823
Santa Fe,79,20131,3,2022-08-15 02:10:37.231823
Santiago del Estero,11,2928,1,2022-08-15 02:10:37.231823
Tierra del Fuego,6,1445,0,2022-08-15 02:10:37.231823
Tucumán,24,5161,2,2022-08-15 02:10:37.231823
